en	ja
English	日本語
lat	ja
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	あなた（翻訳者）の名前をここに配置してください
<!-- Basic names (objects and buttons) -->																																													
Buy	買う
Back to menu	メニューに戻る
Settings	設定
Play	遊ぶ
Shop	店
Coins:	コイン:
Exit	出口
Set the level	レベルを設定する
Sell All	売り切る
Details:	詳細：
Double coins!{#}(Watch Ad)	コインが 2 倍になります!{#}(広告を見る)
Restart	再起動
Advertisement watched	視聴した広告
Received coins:	受け取ったコイン:
Sound volume	音量
next	次
Tower crane	タワークレーン
Workshop	ワークショップ
Hydraulic fence	水圧フェンス
Sorting of details	詳細の並べ替え
Waterproofing	防水加工
Preprocessing	前処理
Equipment calibration	機器の校正
Cooling system	冷却システム
Magnets	磁石
Increase field size: {#price}	フィールドサイズを増やす: {#price}
See story	ストーリーを見る
Pause	一時停止
End round	エンドラウンド
Continue	続く
End saved game, and start a new one	保存したゲームを終了し、新しいゲームを開始する
Tutorials	チュートリアル
Basic	基本
Fence	フェンス
Crane	クレーン
Workshop	ワークショップ
Before	前に
Now	今
Next	次
Max detail:	最大詳細:
Bolt	ボルト
Gear	装備
Gear box	ギアボックス
Bearing	ベアリング
Piston	ピストン
Engine	エンジン
Moped	原付
Motorcycle	オートバイ
Car	車
Pickup	選び出す
Truck	トラック
Biplane	複葉機
Helicopter	ヘリコプター
Plane	飛行機
AN-225 Mriya	AN-225 ムリヤ
Rocket engine	ロケットエンジン
Soyuz	ソユーズ
Rocket	ロケット
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	こんにちは、「リサイクル: 2048」へようこそ!挑戦する準備はできていますか?このチュートリアルでは、リサイクルに必要な基礎を学びますが、自分でしか見つけられない機能もいくつかあります。
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	フィールド (オレンジ色のオブジェクト) の周囲に 4 つの磁石があります。スワイプ (画面上で指を動かす) することでアクティブにできます。あらゆる磁性材料を動かすことができるので、私たちが扱う細部に最適です。オブジェクト (ボルトなど) を 3 回動かしてみてください。
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	新しいディテール、ボルトが登場しました。それをゴミだと思う人もいるかもしれませんが、ギアなどのより高度なものにリサイクルすることができます。
Recycle two bolts into a gear by moving them together.	2 本のボルトを一緒に動かしてギアにリサイクルします。
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	素晴らしい！ゴミをリサイクルしました！それを続けて、一緒により良い生活を築くという目標を達成しましょう。
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	あ、いや、磁石が壊れてしまいました！ :({#} ほら、右側の磁石が赤くなっています。
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	右側の磁石を数回作動させてみて、何も起こらないことを確認してください。 (右にスワイプ)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	わかりますか、何も起こりませんでした。次に、さまざまな方向 (上下) にスワイプしてみます。磁石が自然に修復されるまで待ちましょう。
Done! After several moves, all magnets will be repaired.	終わり！数回移動すると、すべての磁石が修復されます。
Now, let's talk about bio garbage (the apple leftover). Try moving it.	さて、バイオゴミ（リンゴの残りカス）についてお話します。動かしてみてください。
Because bio garbage lacks magnetic materials, magnets can't move it.	バイオゴミには磁性体が含まれていないため、磁石で動かすことができません。
Don't forget to sort your garbage! :)	ゴミの分別も忘れずに！ :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	これは錆びたゴミです。リサイクルもできません。数字は、錆びて消えるまでに必要な時間を示します。
Amazing! You've improved your recycling skills!	すばらしい！リサイクルスキルが向上しました！
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	ワークショップ取得おめでとうございます！それを最大限に活用する方法についての簡単なチュートリアルを見てみましょう。
Combine simple details instantly from all fields using the workshop. Give it a try now!	ワークショップを使用して、あらゆる分野のシンプルなディテールを瞬時に組み合わせます。今すぐ試してみてください!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	かなりクールですよね？クールダウンに注意してください。時間がかかるので、賢く利用しましょう！
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	ワークショップで利用できる詳細が 1 つしかない場合は注意してください。組み合わせることはできず、商品は返送されるだけです。
So, just use it carefully.	したがって、慎重に使用してください。
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	面倒なシンプルなディテールに囲まれたときに、ワークショップは輝きます。スペースを効率的に整理整頓するのに最適なツールです。
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	クレーンのご購入おめでとうございます。これを使用する方法についての簡単なチュートリアルを次に示します。
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	クレーンを使用するには、アイコンをタップするだけです。これでCRANEモードに入りました。
In CRANE mode, choose an item on the field that you'd like to interact with.	CRANE モードでは、フィールド上で操作したいアイテムを選択します。
Next, select an empty field where you want to move the chosen item.	次に、選択した項目を移動する空のフィールドを選択します。
Now, press on the crane once more to execute the action.	ここで、もう一度クレーンを押してアクションを実行します。
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	アップグレードすると、空のフィールドに変更するだけでなく、他のアイテムと交換することもできるようになります。
